endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp1DropTailWithoutPolicingAndShaping-0-20250330-01:17:59-13444),
105.1813498,15.29644637
105.2330998,15.32819637
105.4185998,15.49369637
105.6040998,15.63919637
105.7895998,15.78469637
105.8413498,15.81644637
106.0268498,15.96194637
106.2123498,16.10744637
106.6653498,16.48044637
106.9845998,16.77969637
107.3038498,17.03894637
107.4893498,17.18444637
107.6748498,17.34994637
108.1278498,17.72294637
108.3133498,17.84844637
108.4988498,18.01394637
111.4815998,19.53978398
111.6670998,19.54528398
111.7188498,19.53703398
114.0443498,20.78198673
114.2298498,20.86748673
114.2815998,20.73923673
116.5465998,21.85803976
116.5983498,21.80978976
116.7838498,21.81528976
116.8355998,21.80703976
117.0210998,21.81253976
117.0728498,21.80428976
117.2583498,21.80478995
119.2860998,22.5736061
120.5603498,23.14029771
120.7975998,23.01754771
120.9830998,23.08304771
121.3540998,22.81404771
121.6733498,22.61505338
122.5275998,22.42290757
122.8468498,22.42215757
124.2360998,22.64495924
138.5270998,25.97894213
138.5788498,25.89069213
138.6305998,25.80244213
138.6823498,25.73419213
140.7590998,25.99068281
140.8108498,25.90243281
140.8625998,25.83418281
140.9143498,25.74593281
140.9660998,25.65768281
141.0178498,25.58943281
141.0695998,25.50118281
141.1213498,25.41293281
141.3068498,25.33843281
141.6260998,25.24328902
142.7478498,25.04126288
143.0670998,24.81818956
143.1188498,24.60993956
143.1705998,24.26168956
145.7635998,24.04167404
145.8153498,23.95342404
145.8670998,23.71755658
148.2450998,23.30245048
148.4305998,23.08795048
148.6160998,22.91345048
149.2028498,13.25441055
149.5220998,13.55366055
149.9965998,13.98816055
151.5598498,15.3679883
152.1465998,15.9347383
152.3320998,16.1002383
152.5693498,16.3174883
154.2260998,17.8542383
154.2778498,17.8859883
155.7188498,19.2069883
156.0380998,19.5062383
157.1598498,20.5479883
158.8543498,22.0534545
159.1100998,22.2692045
159.1618498,22.3009545
159.6148498,22.7339545
160.8890998,23.9082045
161.3420998,24.3412045
161.5275998,24.5067045
161.8468498,14.04442278
162.0020998,14.13967278
162.4550998,14.53267278
162.6405998,14.67817278
162.6923498,14.70992278
174.4118498,23.94811027
174.5973498,24.11361027
174.6490998,24.14536027
174.8345998,24.31086027
175.0200998,24.47636027
175.2055998,24.64186027
175.2573498,24.67361027
175.4428498,24.75911027
175.4945998,24.75086027
175.6800998,24.77636027
175.7318498,24.78811027
176.8535998,24.794575
178.5103498,24.57185477
180.9063498,24.51592451
180.9580998,24.42767451
181.2773498,24.3521099
181.3290998,24.2638599
184.1075998,23.99859965
184.2930998,23.76409965
184.3448498,23.67584965
185.1990998,23.46042294
185.5183498,23.48907946
185.7038498,23.31457946
185.7555998,23.22632946
185.8073498,23.17807946
185.8590998,23.08982946
185.9108498,23.08157946
185.9625998,22.91332946
186.0143498,22.90507946
187.2698498,22.89553579
187.3215998,22.82728579
187.5070998,22.73278579
187.5588498,22.74453579
187.7443498,22.65003579
190.2035998,22.73763553
190.3890998,22.66313553
190.4408498,22.57488553
190.6450998,22.51913553
190.6968498,22.43088553
190.8823498,22.37638553
192.0040998,22.35247802
192.5908498,22.14933801
193.3113498,22.06237399
193.3630998,21.97542962
193.5485998,21.88339834
193.6003498,21.89514834
193.7858498,21.84064834
193.8375998,21.6511757
194.6918498,21.60182525
194.8773498,21.42732525
194.9290998,21.41907525
194.9808498,21.43082525
195.0325998,21.42257525
195.0843498,21.37432525
195.8048498,21.5890905
196.1240998,21.52164752
196.1758498,21.43339752
196.7625998,21.42239757
196.8143498,21.43414757
197.2673498,21.51919015
197.3190998,21.51094015
197.3708498,21.42269015
197.4225998,21.35444015
197.4743498,21.26093647
197.7935998,21.19287322
