endToEndDelay:vector projectphase3.H2.app[0] (#0 - Exp3RoundRobinWithPolicingAndShaping-0-20250330-01:09:53-16808),
258.8230998,25.28110083
259.6558498,25.59801644
259.7075998,25.48976644
259.9273498,24.52951644
262.7288498,27.19101644
262.7805998,27.08276644
262.8323498,25.9832104
263.1428498,23.20251969
266.6505998,26.47026969
266.7023498,26.26201969
267.9705998,26.69781109
268.0868498,26.51406109
268.2420998,26.50931109
273.9718498,32.07906109
274.1095998,29.52689802
278.5018498,33.79914802
278.7138498,33.54036846
278.8690998,32.29997524
282.5105998,33.64338728
282.5623498,33.55513728
288.3908498,36.17839118
288.4425998,35.86056603
288.4943498,35.55231603
294.2583498,40.12703933
294.3100998,39.49763793
299.9920998,41.85169264
300.0438498,41.74344264
300.2249009,41.28449379
305.9933498,46.01262504
306.0450998,44.71878224
309.1858498,46.61135821
309.2375998,46.50310821
309.2893498,46.03258618
309.5393498,44.40854554
310.3720998,44.31617542
310.5400998,43.56417542
314.5008498,46.52143786
314.5525998,42.91594611
314.9060998,41.39816293
315.6870998,42.13916293
315.8033498,41.89541293
321.5545998,41.64290061
321.6063498,41.29465061
321.8260998,40.03682807
327.5558498,44.44831576
327.6075998,39.79676413
332.5818498,41.45695853
332.7370998,39.5941794
337.2845998,40.96174964
337.3793498,40.51649964
337.6898498,37.68999184
339.0058498,38.94599184
339.1005998,37.97277753
339.2558498,33.98727764
339.7303498,34.12177764
339.7820998,34.0194866
339.9373498,34.0147366
340.0925998,31.76384601
345.7920998,36.92334601
345.9083498,36.73959601
351.7933498,41.09742094
351.8450998,38.1959165
351.9310998,37.8819165
357.6608498,43.4316665
357.7125998,43.3234165
361.2545998,44.97387952
361.3190998,43.82232529
361.5260998,39.23472962
367.2558498,44.70447962
367.3075998,43.01262814
372.1265998,44.73513453
372.1783498,44.74688453
372.2300998,44.73863453
372.4370998,43.75410112
372.5923498,40.56258353
373.5070998,39.4895479
373.5588498,39.40700569
373.7053498,39.01350569
376.1168498,37.8340092
378.6883498,39.89756794
378.7400998,39.63239869
378.8260998,39.47839869
380.1420998,40.61439869
381.0608498,34.4008216
381.2073498,32.67539785
381.3625998,28.43031492
383.6188498,26.28710387
384.9045998,27.31285387
390.6383498,26.50410986
390.8580998,24.32262671
396.0225998,29.08712671
396.0743498,28.22821396
396.1905998,25.25280241
401.9720998,29.99355588
402.0238498,29.84530588
406.3683498,33.08371421
406.6700998,31.75781843
412.3695998,36.91731843
412.4213498,36.60840046
412.6410998,34.68269172
416.0970998,37.83869172
416.2348498,36.80638121
417.5508498,38.00238121
417.8008498,37.78485294
417.9560998,37.34010294
423.2025998,42.46660294
423.2543498,41.46378543
423.3490998,41.02238792
423.5043498,40.77763792
429.1520998,46.10538792
429.2683498,45.62338645
435.0195998,48.70699644
435.1358498,45.07465694
435.2910998,44.94990694
438.7470998,46.18104947
438.8935998,44.84959819
439.0488498,44.06742828
439.9333498,42.97017681
439.9850998,39.01015852
440.1745998,37.46541478
440.3815998,35.54547491
446.1845998,36.14825941
446.2363498,35.25842993
446.3223498,34.29236625
449.7783498,37.07949783
449.9160998,34.53480063
455.1108498,39.60955063
455.2270998,39.24580063
460.9783498,41.48938509
461.0945998,40.80563509
461.2498498,38.55504763
466.9795998,43.22938946
467.0313498,42.88113946
472.8470998,42.43584283
472.8988498,38.74074648
474.1670998,38.28986117
474.2315998,36.87929815
474.4385998,36.14673928
477.0920998,38.5404394
477.1438498,38.5521894
477.2600998,38.3084394
480.2987421,40.78708176
480.3504921,40.69883176
482.0790998,42.2074394
482.1308498,42.2191894
482.1825998,42.2109394
482.2861114,40.04198061
482.4413498,37.78254168
488.1408498,42.48639039
488.1925998,41.80612391
488.4123498,39.357266
494.1420998,44.687016
494.1938498,44.538766
500.0095998,44.94533872
500.0613498,42.88545926
500.1130998,39.32933252
504.9408498,43.95708252
504.9925998,43.80883252
505.0443498,43.19976019
505.3460998,37.90449549
507.0633498,39.22174549
512.9308498,40.47033841
512.9825998,40.26208841
518.5825998,44.72157848
518.6343498,43.07078756
518.7505998,42.65042288
521.8570998,45.10626966
521.9430998,42.51272729
523.3108498,43.62047729
523.3625998,43.41222729
523.5305998,41.98128551
523.7678498,40.22212784
524.0265998,35.69046564
524.1818498,34.37713554
525.4890998,35.26825377
525.6960998,32.67080199
525.9030998,32.04220725
531.6845998,34.27239065
531.7363498,31.12600309
537.4183498,36.00800309
537.4700998,33.92383435
537.6898498,33.20198981
543.3375998,38.50478576
543.3893498,38.39653576
543.5055998,38.37278576
549.1533498,40.0280875
549.2695998,37.05881243
555.0208498,40.68754795
555.0725998,38.60683882
555.2923498,37.3542985
561.0220998,41.49326015
561.1080998,40.24592205
566.8895998,45.62742205
566.9413498,45.35917205
572.6233498,49.75866354
